nid,field_ligacao_j,field_especificacao_j,field_referencia_j,field_numero_j,field_regiao_j,field_local_j,title,field_data_j,field_tempo_j,field_quantidade_j,field_producao_j,field_rolonum_j,field_tipo_video_j,field_numero_filme_j,field_pais_j,field_genero_j,field_idioma_original_j,field_legenda_j,field_versao_j,field_sistema_j,field_imagem_j,field_direcao_j,field_roteiro_j, field_fotografia_j,field_musica_j,field_elenco_j,field_premiacao_j
47433,412,"Sonhos. Sinopse: Eu acredito que os sonhos sejam aqueles desejos desesperados do homem, que transbordam e aparecem em seu sono, e contudo apresentam sentimentos tão vivos que parecem experiências reais. Assim Kurosawa resume a importância que seu mais recente filme tem para ele. Depois de se consagrar como o mais talentoso diretor oriental, capaz de influenciar, como um verdadeiro mestre, outros diretores como Francis Ford Coppola, Martins Scorcese e Brian de Palma. Akira Kurosawa nos brindou com sua grande obra-prima. São oito episódios diferentes onde le toca nossos sentimentos mais profundos, construindo com delicadeza e precisão sua poesia cinematográfica.",286,286.0,,,Sonhos,1990,119',1.0,Akira Kurosawa Dreams,,Comercial,0.0,,,,Não,,VHS/NTSC,Colorido,,,,,,
47434,413,"Ganga Bruta. Sinopse: Expressionista nos cinco primeiros minutos (a noite do casamento e o assasinato da mulher pelo marido), documentário realista na seqüência (a liberdade do assassino e seu passeio de bonde pelas ruas), evolui para o western (o bafafá no bar, com pancadaria geral no melhor estilo de um John Ford) e cresce com a mesma força do cinema clássico russo (a posse da mulher, de notações eróticas freudianas na montagem metafórica da fábrica em ação).",287,287.0,,,Ganga Bruta,1930,,1.0,Cinédia,,Comercial,0.0,,,,Não,,,Colorido,,,,,,
47435,414,"Limite. Sinopse: A ação de Limite se passa num barco. Nele, perdidos no mar, estão um homem e duas mulheres, que abatidos deixam de remar e parecem conformados com seu destino. Cada um conta, através de flash-backs, sua história, misturando tristeza, ang''ustia, desespero, opressão, monotonia e fuga.",288,288.0,,,Limite,1931,120',1.0,Mário Peixoto,,Comercial,0.0,,,,Não,,,Colorido,,,,,,
47436,415,"O Jarro. Sinopse: Numa escola do deserto, o jarro que serve para as crianças matarem a sede, trinca. Isto mobiliza as pessoas da aldeia, cada uma com uma reação diferente. O Jarro foi filmado com atores não profissionais numa aldeia do escladante deserto iraniano.",289,289.0,,,Jarro (O),1992,83',1.0,Farabi Cinema Foundation,,Comercial,0.0,,,,Não,,VHS/NTSC,Colorido,,,,,,
47437,416,"O Encouraçado Potemkim. Sinopse: O célebre motim de 1905, a bordo de um navio de guerra da Rússia Czarista, ancorado no porto de Odessa, é levado às telas pelo mestre Eisenstein em um festival de imagens poderosas e brilhante uso da montagem. Histórico pela cena da escadaria, O Encouraçado Potemkim é indiscutivelmente, um dos clássicos do cinema russo mais aclamados de todos os tempos.",290,290.0,,,Encouraçado Potemkim (O),,65',1.0,,,Comercial,0.0,,,,Não,,VHS,Colorido,,,,,,
47438,417,O Bandido da Luz Vermelha.,291,291.0,,,Bandido da Luz Vermelha (O),,,1.0,,,Comercial,0.0,,,,Não,,,Colorido,,,,,,
47439,554,"Deus e o Diabo na Terra do Sol. Sinopse: Casal de camponeses mata o patrão, une-se a um místico, depois ao cangaceiro Corisco e enfrenta Antonio das Mortes, matador de cangaceiros. Considerado uma interpretação livre da peça teatral ""O Diabo e o Bom Deus"", de Sartre, com forte influência dos filmes épicos de Eisenstein.",46,46.0,,,Deus e o Diabo na Terra do Sol,1964,112',1.0,Luis Augusto Mendes,,Comercial,46.0,Brasil,,português,Não,,VHS/NTSC,Preto e Branco,Glauber Rocha,,,Heitor Villa-Lobos e Sérgio Ricardo,"Yoná Magalhães, Othon Bastos, Maurício do Valle, Geraldo Del Rey",
47440,558,"Yo, la Peor de Todas. Sinopse: Baseado em ""Sor Juana Ines de la Cruz o Las Trampas de la Fé"", de Octávio Paz.",47,47.0,,,"Yo, la Peor de Todas",,106',1.0,GEA Cinematográfica,,Comercial,47.0,Argentina,,espanhol,Não,,VHS/NTSC,Colorido,María Luisa Bemberg,Maria Luísa Bemberg e Antonio Larreta,Félix Monti,Luis María Serra,"Assumpta Serpa, Dominique Sanda, Héctor Alterio, Alberto Segado, Lautaro Murua, Gabriela Araujo, Hugo Soto",
47441,559,"Parahyba Mulher Macho. Sinopse: A história de Anayde Beiriz, amante do assassino de João Pessoa, governador da Paraíba em 1930. Considerada como tendo um comportamento mais liberal do que o da época, ela é retratada no filme como precursora do feminismo.",49,49.0,,,Parahyba Mulher Macho,1983,87',1.0,,,Comercial,49.0,Brasil,,português,,,VHS/NTSC,Colorido,Tizuka Yamasaki,,,,"Walmor Chagas, Tânia Alves, José Dumont, Cláudio Marzo, Oswaldo Loureiro",
47442,560,"Hábito Negro. Sinopse: O filme retrata a saga do padre Laforgue, um jesuíta novato e ambicioso, que parte numa missão para a hostil região da Nova França (Canadá), no século XVII (l634). O padre Laforgue inicia a perigosa aventura por um rio em Quebec até um posto da desolada missão jesuíta. Guiado por seu fervor religioso, já denominado de ""Hábito Negro"" pelos nativos por suas roupas religiosas austeras, leva como guia um grupo de índios Algonquin. O tradutor e companheiro do percurso de 50 mil milhas é Daniel, que se apaixona pela filha do chefe Algonquin, passando a viver com os índios. Laforgue, alienado pela vida primitiva, entra em crise espiritual e, com a chegada do inverno rigoroso, toda a tribo começa a acreditar que ele seja um demônio.",50,50.0,,,Hábito Negro,1991,101',1.0,Robert Lantos,,Comercial,50.0,Canadá/Austrália,,inglês,,,VHS/NTSC,Colorido,Bruce Beresford,Brian Moore,Peter James,Georges Delerne,"Lothaire Bluteau, August Schellenberg, Aden Young, Sabrine Holt, Tantoo Cardinal",
